apcsf,11,4.7,-0.1848817366,-0.0740289408,0.1132856036
grcp,10,6,-0.1166200899,-0.0547888325,0.0982277484
gwssf,10,8,-0.1201282116,-0.1080730631,0.1558737287
apcsp,11,8,-0.1451884758,-0.0050380104,0.118170064
kavfk,11,6,-0.1124791642,-0.0880853021,0.099784827
apcsp,10,9,-0.1496046482,0.0398561717,0.1123250728
mas,11,7,-0.0880215284,-0.0692351476,0.0949101352
zin,11,7,-0.0931886447,-0.0658584354,0.082791413
kyosho,9,6,-0.1029722759,-0.0676332364,0.1120524601
mas,9,5,-0.0872306936,-0.0556967552,0.0745885753
apcsp,8,8,-0.1232848313,0.0420423234,0.1034649156
grsn,11,8,-0.1502530281,-0.0531368357,0.1271345316
kavfk,9,6,-0.1297570457,-0.0549784505,0.1201176772
gwssf,10,4.7,-0.1262527206,-0.1299924179,0.1312123567
apcsp,11,9,-0.163593636,0.039126495,0.1157649633
apcsp,10,5,-0.1402961798,-0.0600123775,0.1034782408
ma,9,8,-0.166655787,0.0375692752,0.1105205771
apcsp,8,7,-0.1579035001,0.0406984361,0.099093056
grcp,11,4,-0.1346758666,-0.0699134271,0.0606483703
ma,11,9,-0.1564455388,0.0054928413,0.1120454904
apce,8,8,-0.1286559531,0.039111777,0.1259111513
apcsp,11,5,-0.1206157382,-0.0734777305,0.0979340173
kyosho,10,6,-0.1665303153,-0.0065840636,0.1015797482
grsn,9,6,-0.1372344601,-0.0635502473,0.1291686445
apce,9,4.5,-0.116556889,-0.0875588497,0.0992378252
apce,14,12,-0.16997114,0.0502798319,0.0911719103
grcp,10,8,-0.1243140299,-0.0071789994,0.1049181702
grcp,9,6,-0.1301785776,-0.0360179972,0.0976136351
apce,9,6,-0.1232911964,-0.0531104815,0.1169527189
kavfk,11,7.75,-0.0915028084,-0.0935136871,0.1255149244
apce,11,5.5,-0.1002122216,-0.085195293,0.0878711482
gwssf,11,8,-0.1780824729,-0.0743967635,0.1505626142
apc29ff,9,5,-0.1589951239,-0.02688303,0.0979478
apcsp,7,9,-0.1050335902,0.058590009,0.1060404969
apce,9,7.5,-0.1515960812,0.0150858667,0.1230270527
magf,9,5,-0.1479452116,-0.0490945656,0.0984405163
ma,9,4,-0.1829780238,-0.04593104,0.0748072973
apce,10,7,-0.1562373369,-0.0083452186,0.1090751058
mas,11,6,-0.1081907399,-0.0497977854,0.0823226005
ance,8.5,6,-0.1463020224,-0.0215124782,0.1090926638
ma,11,6,-0.2016175516,-0.0262388017,0.0931700447
mae,10,7,-0.1168201176,-0.0350849905,0.1273917581
grsn,9,4,-0.1337331238,-0.0898440577,0.0920232909
apcsp,10,8,-0.1813982518,0.039390025,0.1105955376
apce,8,4,-0.080497084,-0.0892163593,0.095709774
apcsf,11,3.8,-0.1960776584,-0.07796597,0.0878202076
apcsp,9,8,-0.1318945383,0.0185478804,0.105063688
apcsp,10,4,-0.1056004019,-0.0955179606,0.0909169335
ma,11,10,-0.1575886092,0.0289068898,0.1159329072
grsn,11,7,-0.1610039664,-0.0563410945,0.1132711709
apcsp,8,6,-0.112435922,-0.0132877464,0.0998773877
apcsp,11,6,-0.1420795584,-0.0419972994,0.1083512971
apccf,7.8,7,-0.1336894477,0.0318171861,0.1040463141
apcsf,10,7,-0.1196621576,-0.0778279601,0.1539963568
apce,11,8.5,-0.1645698173,0.0181641524,0.1044974441
magf,11,8,-0.1544440455,-0.0144568507,0.122679544
grsn,9,7,-0.1374342803,-0.0302445298,0.1481017677
mas,10,7,-0.1585613446,-0.0193466023,0.1112025244
apcsf,8,6,-0.1201725207,-0.0440522135,0.1511766136
apccf,7.4,8.25,-0.1210811788,0.01050827,0.1438126613
apcsf,9,7.5,-0.1170255423,-0.0489077762,0.1732756123
magf,11,4,-0.180615928,-0.0605006681,0.0684481769
apc29ff,9,4,-0.1173620139,-0.0790326025,0.0893542072
apcsp,10,10,-0.0982267243,0.0020729499,0.1151526669
apce,19,12,-0.17436556,-0.0002091993,0.0943789596
ance,8.5,7,-0.1590360046,-0.0020321081,0.1157399924
magf,9,4,-0.1514970418,-0.0640411554,0.0795903058
magf,10,6,-0.1646416945,-0.0301451511,0.1025157625
kavfk,9,4,-0.1554039917,-0.0805859911,0.0730005283
grsn,10,6,-0.1295697243,-0.0810715257,0.1157730485
ma,11,7,-0.1725870123,-0.0352492899,0.097080859
kyosho,11,7,-0.1442188272,-0.019547873,0.1106451295
apcsp,10,7,-0.1760746304,0.0046209346,0.1090751249
gwsdd,10,6,-0.1461406087,-0.0643446734,0.0964418863
grcsp,9,5,-0.1330399543,-0.0607831258,0.089285142
mas,9,7,-0.0904952523,-0.069238437,0.1168049538
grsn,11,6,-0.1338997962,-0.0952741269,0.1075514968
apcsp,9,9,-0.0961774979,0.0088420153,0.1057213873
apcsf,9,3.8,-0.1791738273,-0.0716408299,0.098269857
apcsp,10,3,-0.1392400021,-0.0758167157,0.0666894753
gwssf,9,4.7,-0.1138226078,-0.1383889626,0.1189968878
gwssf,8,6,-0.1450955854,-0.0697560322,0.1447176396
gwsdd,9,5,-0.0954254611,-0.1043460076,0.1011337055
apcsp,8,5,-0.1021059049,-0.0439789776,0.0919658748
grcp,11,6,-0.1139202142,-0.0703287405,0.082180318
mae,11,7,-0.1065622046,-0.0436834707,0.1225317007
mae,9,6,-0.1109072973,-0.0277835605,0.109949649
grcsp,10,8,-0.1365860526,6.23284023322896E-05,0.1361196725
apccf,7.8,6,-0.1420095991,0.0116594072,0.1043283617
grcp,9,4,-0.1099651412,-0.0690064107,0.0654174974
apcsp,11,7,-0.1360034668,-0.0266524102,0.1149413685
gwssf,8,4.3,-0.1341585026,-0.1017592028,0.1102274952
gwsdd,11,7,-0.1354312003,-0.0816056839,0.1068513068
mas,11,8,-0.1227143331,-0.0432084894,0.1138848988
apcsp,9,6,-0.1457386106,-0.0163556961,0.1097025205
apcsf,9,6,-0.123720501,-0.0626338915,0.1533688222
apce,17,12,-0.1872365709,0.0437442064,0.0900832843
magf,11,5,-0.1631581274,-0.058847293,0.0807389823
apcsp,14,13,-0.1500919939,0.0404912473,0.1132694832
apcsp,11,3,-0.1228139557,-0.0825367181,0.0641517675
magf,9,7,-0.1390007195,-0.0225225584,0.1221018163
ma,9,6,-0.1799179961,-0.001925219,0.1003773548
apcsf,10,4.7,-0.1625197886,-0.0759830699,0.1196301895
grsn,11,10,-0.1385400967,-0.0304463402,0.1517563229
apcsf,11,7,-0.1284720893,-0.0797900188,0.1567677541
apce,8,6,-0.1449883727,0.0092358518,0.1153941176
grsn,10,7,-0.1402167872,-0.0489448856,0.1305182366
magf,7,4,-0.0988251836,-0.0648014389,0.0826102893
apcsp,7,6,-0.1038002729,0.0026721853,0.0919380811
apcsp,8,10,-0.0823367045,0.025192093,0.1149404903
apcsp,8,9,-0.1118533413,0.0533995086,0.101314784
ma,11,4,-0.1938943081,-0.0751093193,0.0619170686
apce,11,8,-0.1688123477,0.0057645451,0.106137502
apcsp,9,10,-0.101688064,0.0169709232,0.1176296551
grcsp,10,6,-0.1290481555,-0.049244063,0.1243483971
mas,9,6,-0.0900555504,-0.0619689362,0.0953438382
apcsp,10,6,-0.1677203945,-0.0143482494,0.1108209572
gwssf,11,4.7,-0.1539888858,-0.1230241822,0.117987636
grcsp,9,6,-0.1307212153,-0.0221529141,0.1327565236
rusp,11,4,-0.1159882325,-0.0872093056,0.0726171514
apce,9,9,-0.1330558806,0.0264732723,0.130333953
gwssf,9,7,-0.1318428605,-0.0949658507,0.1572034912
zin,9,6,-0.0930653823,-0.0621136638,0.0868161377
apce,11,10,-0.1610570228,0.0554111128,0.1041234247
ma,11,8,-0.1718400285,-0.0010404157,0.1079545078
apcsp,11,4,-0.0858274354,-0.0944976459,0.0786679481
grsn,9,5,-0.1577648049,-0.064766134,0.1085056736
magf,8,4,-0.1435949024,-0.0620085706,0.0898129775
apce,10,5,-0.1265956636,-0.0684415927,0.0988035789
apcsp,8,4,-0.0913266896,-0.0695548988,0.0840017883
kyosho,10,7,-0.163841645,0.0205705146,0.1094145562
apce,11,7,-0.1406663613,-0.0351319125,0.1074703917
apcsf,8,3.8,-0.1483029104,-0.0657022685,0.1041448485
magf,10,8,-0.1414550031,-0.0197097429,0.1242961165
apcsf,9,4.7,-0.1491716476,-0.0916851155,0.1172362422
grcp,11,8,-0.1243997438,-0.0170085329,0.1072802262
apcsp,9,7,-0.162597069,0.0136249269,0.1098863629
mas,10,5,-0.0961372867,-0.0635021844,0.0922212854
kyosho,11,9,-0.1277344817,0.0122710664,0.1122967387
